"Economic.Scale","Social.Scale","manifestoid"
1.06969580646377,-0.0509891073252346,"Con 1987"
-0.865128023391083,-1.76906314449409,"LD 1987"
-1.72827902591106,-2.26577076025745,"Lab 1987"
1.11213324550996,0.198485496492082,"Con 1997"
-0.791384163045738,-1.86632246971364,"LD 1997"
-0.632768818239305,-1.45710727684566,"Lab 1997"
1.26079462807691,-0.575918076690653,"Con 1992"
-0.594962779632841,-2.40884089334024,"LD 1992"
-0.970565740939972,-2.13400240797646,"Lab 1992"
1.72502668064805,1.1761790524322,"Con 2001"
-0.554250185160317,-1.99827947524274,"LD 2001"
-0.823298200837918,-1.44441132652976,"Lab 2001"
1.64224786616385,1.50711634148699,"Con 2005"
0.0116357098701683,-1.64365825895436,"LD 2005"
-0.547566791305088,-0.903681976494903,"Lab 2005"
1.4073288225323,0.159064474265793,"Con 2010"
0.203022815034876,-1.48064468027498,"LD 2010"
0.167013735422516,-0.750119363874015,"Lab 2010"
